subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	mapping_tool	confidence	curation_rule	comment	author_id	mapping_date	issue_tracker	see_also	reviewer_id	object_source_version	other
obo:doid.owl		semapv:ObjectTermIsOutOfScopeForSubjectSource		NCI:C123248	Glucocorticoid Suppressible Hyperaldosteronism	semapv:ManualMappingCuration			not_disease	This is a descendant of 'Finding' (NCI:C3367). The corresponding disease is NCI:C127161.	orcid:0000-0002-0593-3569	2023-09-21		https://docs.google.com/spreadsheets/d/1clk9S0HH-4xJ0kgHLC9rAyQ554eCSmQgst82Yq2pFco/edit#gid=1188960962			needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:14080	glucocorticoid-remediable aldosteronism	oboInOwl:hasDbXref	Not	NCI:C123248	Glucocorticoid Suppressible Hyperaldosteronism	semapv:MappingReview			not_disease	Review: Negated. This is a descendant of 'Finding' (NCI:C3367). The corresponding disease is NCI:C127161. 	orcid:0000-0002-0593-3569	2023-09-21		https://docs.google.com/spreadsheets/d/1clk9S0HH-4xJ0kgHLC9rAyQ554eCSmQgst82Yq2pFco/edit#gid=1188960962			needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
obo:doid.owl		semapv:ObjectTermIsOutOfScopeForSubjectSource		MIM:162270	neurofibromatosis type 4	semapv:ManualMappingCuration			multi-rule	Rules: nos, no_lit_support. not a seperate disease from other neurofibromatosis subtypes (1-3), don't add; published in 1982; not otherwise supported in literature	orcid:0000-0001-8910-9851	2019-05-17		https://docs.google.com/spreadsheets/d/1vbWgLyqXO1hUc8Sku7Sgb1uLr3F1jJNOZ1_FGoM9pWo/edit#gid=2028624884			needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0111253	neurofibromatosis 1	oboInOwl:hasDbXref	Not	MIM:100800	ACHONDROPLASIA	semapv:ManualMappingCuration			authoritative	Object was shown NOT to be a neurofibromatosis by exclusion studies	orcid:0000-0002-0593-3569	2023-10-09					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0111253	neurofibromatosis 1	oboInOwl:hasDbXref	Not	MIM:163950	NOONAN SYNDROME 1; NS1	semapv:ManualMappingCuration			authoritative	Object was shown NOT to be a neurofibromatosis by exclusion studies	orcid:0000-0002-0593-3569	2023-10-09					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0111253	neurofibromatosis 1	oboInOwl:hasDbXref	Not	MIM:276300	MISMATCH REPAIR CANCER SYNDROME 1; MMRCS1	semapv:ManualMappingCuration			multi-rule	Rules: phen_diff, gen_diff. phenotype can be similar but multiple additionally may include colorectal tumors, multiple intestinal polyps, and malignant tumors including hematologic malignancies, embryonic tumors and rhabdomyosarcoma.	orcid:0000-0002-0593-3569	2023-10-09					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0111253	neurofibromatosis 1	oboInOwl:hasDbXref	Not	MIM:252350	MOYAMOYA DISEASE 1	semapv:ManualMappingCuration			gen_diff	NF1 can cause moyamoya disease but should not be linked to this or any other genetically defined subtype (unless an NF1-related moyamoya disease were to be created)	orcid:0000-0002-0593-3569	2023-10-09					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0111253	neurofibromatosis 1	oboInOwl:hasDbXref	Not	DOID:13099	Moyamoya disease	semapv:ManualMappingCuration			rare_result	NF1 can cause moyamoya disease	orcid:0000-0002-0593-3569	2023-10-09					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0111253	neurofibromatosis 1	oboInOwl:hasDbXref	Not	MIM:151100	LEOPARD SYNDROME 1; LPRD1	semapv:ManualMappingCuration			multi-rule	Rules: phen_diff, gen_diff. phenotype can be similar (probably pigmentation) and some NF1 have been misdiagnosed as LEOPARD but phenotype also includes various non-tumor abnormalities and these diseases are genetically distinct.	orcid:0000-0002-0593-3569						needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0111253	neurofibromatosis 1	oboInOwl:hasDbXref	Not	MIM:619097	MISMATCH REPAIR CANCER SYNDROME 3; MMRCS3	semapv:ManualMappingCuration			multi-rule	Rules: phen_diff, gen_diff. phenotype can be similar but multiple additionally may include colorectal tumors, multiple intestinal polyps, and malignant tumors including hematologic malignancies, embryonic tumors and rhabdomyosarcoma.	orcid:0000-0002-0593-3569	2023-10-09					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
obo:doid.owl		semapv:ObjectTermIsOutOfScopeForSubjectSource		MIM:114030	CAFE-AU-LAIT SPOTS, MULTIPLE	semapv:ManualMappingCuration			not_disease	This is a phenotype that exists in multiple diseases.	orcid:0000-0002-0593-3569	2023-10-09					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
obo:doid.owl		semapv:ObjectTermIsOutOfScopeForSubjectSource		MIM:149100	KNUCKLE PADS	semapv:ManualMappingCuration			not_disease	This is a phenotype that exists in multiple diseases.	orcid:0000-0002-0593-3569	2024-06-26					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:3883	Lynch syndrome	skos:exactMatch	Not	UMLS_CUI:C2936783	Colorectal cancer, hereditary nonpolyposis, type 1	semapv:ManualMappingCuration			other_map	Exclude because it is based on OMIM child term, where it is correctly annotated	orcid:0000-0002-0593-3569	2024-06-19				2024AA	needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0060321	umbilical hernia	skos:exactMatch	Not	ICD10CM:Q79.2	exomphalos	semapv:MappingReview			label-label	exomphalos/omphalocele is not equivalent to umbilical hernia	orcid:0000-0002-0593-3569	2024-06-27					needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: ''
DOID:0060321	umbilical hernia	skos:exactMatch	Not	ICD9CM:756.72	omphalocele	semapv:MappingReview			label-label	exomphalos/omphalocele is not equivalent to umbilical hernia	orcid:0000-0002-0593-3569	2024-06-27					
DOID:0060321	umbilical hernia	skos:exactMatch	Not	MESH:D006554	Hernia, Umbilical	semapv:MappingReview			multi-label-synonym	conflates umbilical hernia with exomphalos/omphalocele = cannot be exact to either	orcid:0000-0002-0593-3569	2024-06-27					
DOID:0060321	umbilical hernia	skos:exactMatch	Not	NCI:C98997	Omphalocele	semapv:MappingReview			label-label	umbilical hernia is not equivalent to omphalocele	orcid:0000-0002-0593-3569	2024-06-27					
DOID:0060321	umbilical hernia	skos:exactMatch	Not	SNOMEDCT_US:5867007	Congenital exomphalos	semapv:MappingReview			label-label	umbilical hernia is not equivalent to omphalocele	orcid:0000-0002-0593-3569	2024-06-27				2024-03-01	needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: '<2020-03-01'
DOID:0060321	umbilical hernia	skos:exactMatch	Not	UMLS_CUI:C0795690	Congenital omphalocele	semapv:MappingReview			map2plus	umbilical hernia is not equivalent to omphalocele	orcid:0000-0002-0593-3569	2024-06-27				2024AA	
DOID:0060321	umbilical hernia	skos:exactMatch	Not	UMLS_CUI:C1306503	Congenital exomphalos	semapv:MappingReview			map2plus	umbilical hernia is not equivalent to exomphalos; some true congenital hernia terms (SNOMEDCT_US:975231000000107, MEDDRA) have been incorrectly mapped to this UMLS entry	orcid:0000-0002-0593-3569	2024-06-27				2024AA	
DOID:0060327	omphalocele	skos:exactMatch	Not	MESH:D006554	Hernia, Umbilical	semapv:MappingReview			multi-label-synonym	conflates umbilical hernia with exomphalos/omphalocele = cannot be exact to either	orcid:0000-0002-0593-3569	2024-06-27					
DOID:0060327	omphalocele	skos:exactMatch	Not	UMLS_CUI:C1306503	Congenital exomphalos	semapv:MappingReview			map2plus	umbilical hernia is not equivalent to exomphalos; about equal congenital exomphalos and congenital hernia terms (SNOMEDCT_US:975231000000107, MEDDRA) have been mapped to this UMLS entry, making it ambiguous... it should be avoided until fixed	orcid:0000-0002-0593-3569	2024-06-27				2024AA	needs_review: TRUE, review_reason: 'mixed mappings, see comment', review_date: '2025-01-01', subject_obsoleted_version: '', object_obsoleted_version: '<2020-03-01'
DOID:0060327	omphalocele	skos:exactMatch	Not	MIM:164750	OMPHALOCELE, AUTOSOMAL	semapv:MappingReview			definition	this is a genetic subtype of omphalocele	orcid:0000-0002-0593-3569	2024-06-27					
DOID:0060327	omphalocele	skos:exactMatch	Not	SNOMEDCT_US_2023_03_01:49324006	Umbilical hernia	semapv:MappingReview			label-label	umbilical hernia is not equivalent to omphalocele	orcid:0000-0002-0593-3569	2024-06-27				2024-03-01	needs_review: FALSE, review_reason: '', review_date: '', subject_obsoleted_version: '', object_obsoleted_version: '<2020-03-01'
DOID:3883	Lynch syndrome	skos:exactMatch	Not	UMLS_CUI:C2936783	Colorectal cancer, hereditary nonpolyposis, type 1	semapv:ManualMappingCuration			other_map	this is based on a subtype from OMIM; it should be annotated to DOID:0070271	orcid:0000-0002-0593-3569	2024-06-19					
