word_lower	word_cap	alt_caps	examples	source	status	notes
aalfs	Aalfs		Ruijs-Aalfs progeroid syndrome	OMIM	cap	
aarskog	Aarskog		Aarskog-Scott syndrome	OMIM	cap	
abcd	ABCD		ABCD syndrome	OMIM	cap	
abdominal	Abdominal		Abdominal obesity-metabolic syndrome 4; Abdominal obesity-metabolic syndrome 1; Abdominal obesity-metabolic syndrome	OMIM	lower	
abetalipoproteinemia	Abetalipoproteinemia		Abetalipoproteinemia	OMIM	lower	
abidi	Abidi		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
ablepharon	Ablepharon		Ablepharon-macrostomia syndrome	OMIM	lower	
abnormal	Abnormal		Abnormal hair, joint laxity, and developmental delay	OMIM	lower	
abo	ABO		Blood group, ABO system	OMIM	cap	
abruzzo	Abruzzo		Abruzzo-Erickson syndrome	OMIM	cap	
acatalasemia	Acatalasemia		Acatalasemia	OMIM	lower	
accelerated	Accelerated		Accelerated tumor formation, susceptibility to	OMIM	lower	
acces	ACCES		ACCES syndrome	OMIM	cap	
ace	ACE		Angioedema induced by ACE inhibitors, susceptibility to	OMIM	cap	
aceruloplasminemia	Aceruloplasminemia		Aceruloplasminemia	OMIM	lower	
acetyl	Acetyl		Acetyl-CoA carboxylase deficiency	OMIM	lower	
acetylation	Acetylation		Acetylation, slow	OMIM	lower	
achalasia	Achalasia		Achalasia-progeroid syndrome; Achalasia-addisonianism-alacrimia syndrome	OMIM	lower	
acheiropody	Acheiropody		Acheiropody	OMIM	lower	
achondrogenesis	Achondrogenesis		Achondrogenesis Ib; Achondrogenesis, type II or hypochondrogenesis; Achondrogenesis, type IA	OMIM	lower	
achondroplasia	Achondroplasia		Achondroplasia	OMIM	lower	
achromatopsia	Achromatopsia		Achromatopsia 4; Achromatopsia 7; Achromatopsia 2	OMIM	lower	
acid	Acid		Acid-labile subunit, deficiency of	OMIM	lower	
acne	Acne		Acne inversa, familial, 1; Acne inversa, familial, 3; Acne inversa, familial, 2, with or without Dowling-Degos ...	OMIM	lower	
acrocallosal	Acrocallosal		Acrocallosal syndrome	OMIM	lower	
acrocapitofemoral	Acrocapitofemoral		Acrocapitofemoral dysplasia	OMIM	lower	
acrodermatitis	Acrodermatitis		Acrodermatitis enteropathica	OMIM	lower	
acrodysostosis	Acrodysostosis		Acrodysostosis 2, with or without hormone resistance; Acrodysostosis 1, with or without hormone resistance	OMIM	lower	
acrofacial	Acrofacial		Acrofacial dysostosis 1, Nager type; Acrofacial dysostosis, Cincinnati type	OMIM	lower	
acrokeratosis	Acrokeratosis		Acrokeratosis verruciformis	OMIM	lower	
acromegaloid	Acromegaloid		Acromegaloid features, overgrowth, cleft palate, and hernia	OMIM	lower	
acromelic	Acromelic		Acromelic frontonasal dysostosis	OMIM	lower	
acromesomelic	Acromesomelic		Acromesomelic dysplasia 4; Acromesomelic dysplasia 3; Acromesomelic dysplasia 1, Maroteaux type	OMIM	lower	
acromicric	Acromicric		Acromicric dysplasia	OMIM	lower	
acropectoral	Acropectoral		Acropectoral syndrome	OMIM	lower	
acropectorovertebral	Acropectorovertebral		Acropectorovertebral dysplasia	OMIM	lower	
acth	ACTH		ACTH-independent macronodular adrenal hyperplasia 3; Pituitary adenoma, ACTH-secreting, somatic (3); Pituitary adenoma 4, ACTH-secreting, somatic	OMIM	cap	
acute	Acute		Acute insulin response; Acute myeloid leukemia, somatic	OMIM	lower	
acyl	Acyl		Acyl-CoA dehydrogenase, medium chain, deficiency of; Acyl-CoA dehydrogenase, short-chain, deficiency of	OMIM	lower	
adams	Adams		Adams-Oliver syndrome 4; Adams-Oliver syndrome 1; Adams-Oliver syndrome 3	OMIM	cap	
adelaide	Adelaide		Craniosynostosis, Adelaide type	OMIM	cap	
adenine	Adenine		Adenine phosphoribosyltransferase deficiency	OMIM	lower	
