title,abbrev_title
Andes pediatrica : revista Chilena de pediatría,Andes Pediatr
Minerva dental and oral science,Minerva Dent Oral Sci
Italian journal of dermatology and venereology,Ital J Dermatol Venerol
Minerva obstetrics and gynecology,Minerva Obstet Gynecol
Minerva endocrinology,Minerva Endocrinol (Torino)
Minerva pediatrics,Minerva Pediatr (Torino)
Minerva urology and nephrology,Minerva Urol Nephrol
Minerva surgery,Minerva Surg
Minerva gastroenterology,Minerva Gastroenterol (Torino)
Minerva cardiology and angiology,Minerva Cardiol Angiol
Journal of osteopathic medicine,J Osteopath Med
Recent advances in inflammation & allergy drug discovery,Recent Adv Inflamm Allergy Drug Discov
Recent advances in drug delivery and formulation,Recent Adv Drug Deliv Formul
BMC ecology and evolution,BMC Ecol Evol
Cells & development,Cells Dev
BMC genomic data,BMC Genom Data
Advanced biology,Adv Biol (Weinh)
The science of diabetes self-management and care,Sci Diabetes Self Manag Care
Infectious diseases now,Infect Dis Now
Tumour virus research,Tumour Virus Res
Journal of the Academy of Consultation-Liaison Psychiatry,J Acad Consult Liaison Psychiatry
Transplantation and cellular therapy,Transplant Cell Ther
Current protocols,Curr Protoc
Modern trends in psychiatry,Mod Trends Psychiatry
Recent advances in anti-infective drug discovery,Recent Adv Antiinfect Drug Discov
WIREs mechanisms of disease,WIREs Mech Dis
Current reviews in clinical and experimental pharmacology,Curr Rev Clin Exp Pharmacol
Research on child and adolescent psychopathology,Res Child Adolesc Psychopathol
The Medical journal,Med J (Ft Sam Houst Tex)
JBI evidence implementation,JBI Evid Implement
Journal of mother and child,J Mother Child
"Journal of environmental science and health. Part C, Toxicology and carcinogenesis",J Environ Sci Health C Toxicol Carcinog
JBI evidence synthesis,JBI Evid Synth
Joint diseases and related surgery,Jt Dis Relat Surg
Current medical imaging,Curr Med Imaging
BMJ military health,BMJ Mil Health
BMC complementary medicine and therapies,BMC Complement Med Ther
Physical and engineering sciences in medicine,Phys Eng Sci Med
Microbial physiology,Microb Physiol
Facial plastic surgery & aesthetic medicine,Facial Plast Surg Aesthet Med
Plant communications,Plant Commun
Journal of evidence-based social work,J Evid Based Soc Work (2019)
Radiology. Imaging cancer,Radiol Imaging Cancer
JCO global oncology,JCO Glob Oncol
JCO oncology practice,JCO Oncol Pract
The Lancet. Digital health,Lancet Digit Health
Hawai'i journal of health & social welfare,Hawaii J Health Soc Welf
American journal of obstetrics & gynecology MFM,Am J Obstet Gynecol MFM
Respiratory medicine and research,Respir Med Res
BMJ health & care informatics,BMJ Health Care Inform
International journal of oral implantology,Int J Oral Implantol (Berl)
School psychology,Sch Psychol
Sexual and reproductive health matters,Sex Reprod Health Matters
BMC molecular and cell biology,BMC Mol Cell Biol
Wound management & prevention,Wound Manag Prev
HIV research & clinical practice,HIV Res Clin Pract
Biologia futura,Biol Futur
Ethics & human research,Ethics Hum Res
The Senior care pharmacist,Sr Care Pharm
Nature metabolism,Nat Metab
"Photobiomodulation, photomedicine, and laser surgery",Photobiomodul Photomed Laser Surg
Cancer reports,Cancer Rep (Hoboken)
The CRISPR journal,CRISPR J
Immunological medicine,Immunol Med
Current drug research reviews,Curr Drug Res Rev
Communicable diseases intelligence,Commun Dis Intell (2018)
Journal of healthcare quality research,J Healthc Qual Res
Advances in rheumatology,Adv Rheumatol
Ophthalmology. Glaucoma,Ophthalmol Glaucoma
Journal of binocular vision and ocular motility,J Binocul Vis Ocul Motil
Current medical science,Curr Med Sci
JAMA network open,JAMA Netw Open
Australasian emergency care,Australas Emerg Care
